data,anno,concorso,n1,n2,n3,n4,n5,n6,jolly,superstar
2020-08-18,2020,81,13,22,28,58,65,77,6,24
2020-08-20,2020,82,7,17,30,39,41,67,32,70
2020-08-22,2020,83,7,12,45,47,73,87,83,72
2020-08-25,2020,84,15,24,31,70,83,84,76,89
2020-08-27,2020,85,37,49,52,53,75,87,29,30
2020-08-29,2020,86,1,3,35,42,55,61,25,17
2020-09-01,2020,87,10,22,28,45,48,71,53,84
2020-09-03,2020,88,16,17,38,39,68,84,29,7
2020-09-05,2020,89,7,14,27,56,72,83,16,3
2020-09-08,2020,90,23,27,28,31,69,89,24,85
2020-09-10,2020,91,46,48,67,78,80,87,23,56
2020-09-12,2020,92,6,15,36,42,67,78,2,11
2020-09-15,2020,93,2,9,44,47,52,54,16,18
2020-09-17,2020,94,9,29,35,47,53,85,71,48
2020-09-19,2020,95,6,12,14,27,39,73,87,66
2020-09-22,2020,96,4,15,37,48,55,69,31,56
2020-09-24,2020,97,10,13,28,77,86,89,14,1
2020-09-26,2020,98,4,16,38,70,86,88,61,46
2020-09-29,2020,99,25,33,53,76,81,90,75,72
2020-10-01,2020,100,7,31,38,52,61,75,51,19
